time,SSID,RSSI,BSSID
09:42:04,'AAU', '-52', '6C:31:0E:F3:55:E6'
09:42:04,'AAU', '-63', '6C:31:0E:BA:0A:A6'
09:42:04,'AAU', '-75', '3C:51:0E:13:FD:86'
09:42:04,'AAU', '-78', '3C:51:0E:2E:05:E6'
09:42:04,'AAU', '-80', '6C:31:0E:E1:0F:66'
09:42:11,'AAU', '-53', '6C:31:0E:F3:55:E6'
09:42:11,'AAU', '-65', '6C:31:0E:BA:0A:A6'
09:42:11,'AAU', '-73', '3C:51:0E:13:FD:86'
09:42:11,'AAU', '-80', '3C:51:0E:2E:05:E6'
09:42:11,'AAU', '-82', '6C:31:0E:E1:0F:66'
09:42:18,'AAU', '-54', '6C:31:0E:F3:55:E6'
09:42:18,'AAU', '-64', '6C:31:0E:BA:0A:A6'
09:42:18,'AAU', '-72', '3C:51:0E:13:FD:86'
09:42:18,'AAU', '-82', '6C:31:0E:E1:0F:66'
09:42:25,'AAU', '-53', '6C:31:0E:F3:55:E6'
09:42:25,'AAU', '-64', '6C:31:0E:BA:0A:A6'
09:42:25,'AAU', '-72', '3C:51:0E:13:FD:86'
09:42:25,'AAU', '-81', '6C:31:0E:E1:0F:66'
09:42:32,'AAU', '-52', '6C:31:0E:F3:55:E6'
09:42:32,'AAU', '-65', '6C:31:0E:BA:0A:A6'
09:42:32,'AAU', '-73', '3C:51:0E:13:FD:86'
09:42:32,'AAU', '-78', '3C:51:0E:2E:05:E6'
09:42:39,'AAU', '-52', '6C:31:0E:F3:55:E6'
09:42:39,'AAU', '-65', '6C:31:0E:BA:0A:A6'
09:42:39,'AAU', '-73', '3C:51:0E:13:FD:86'
09:42:39,'AAU', '-78', '3C:51:0E:2E:05:E6'
09:42:39,'AAU', '-83', '6C:31:0E:E1:0F:66'
09:42:46,'AAU', '-54', '6C:31:0E:F3:55:E6'
09:42:46,'AAU', '-64', '6C:31:0E:BA:0A:A6'
09:42:46,'AAU', '-73', '3C:51:0E:13:FD:86'
09:42:46,'AAU', '-83', '3C:51:0E:2E:05:E6'
09:42:53,'AAU', '-52', '6C:31:0E:F3:55:E6'
09:42:53,'AAU', '-63', '6C:31:0E:BA:0A:A6'
09:42:53,'AAU', '-71', '3C:51:0E:13:FD:86'
09:42:53,'AAU', '-83', '3C:51:0E:2E:05:E6'
09:42:53,'AAU', '-85', '3C:51:0E:09:51:26'
09:43:00,'AAU', '-54', '6C:31:0E:F3:55:E6'
09:43:00,'AAU', '-64', '6C:31:0E:BA:0A:A6'
09:43:00,'AAU', '-72', '3C:51:0E:13:FD:86'
09:43:07,'AAU', '-54', '6C:31:0E:F3:55:E6'
09:43:07,'AAU', '-64', '6C:31:0E:BA:0A:A6'
09:43:07,'AAU', '-72', '3C:51:0E:13:FD:86'
09:43:07,'AAU', '-81', '3C:51:0E:09:51:26'
09:43:07,'AAU', '-83', '3C:51:0E:2E:05:E6'
09:43:14,'AAU', '-54', '6C:31:0E:F3:55:E6'
09:43:14,'AAU', '-64', '6C:31:0E:BA:0A:A6'
09:43:14,'AAU', '-72', '3C:51:0E:13:FD:86'
09:43:14,'AAU', '-81', '3C:51:0E:2E:05:E6'
09:43:20,'AAU', '-54', '6C:31:0E:F3:55:E6'
09:43:20,'AAU', '-64', '6C:31:0E:BA:0A:A6'
09:43:20,'AAU', '-72', '3C:51:0E:13:FD:86'
09:43:20,'AAU', '-84', '3C:51:0E:09:51:26'
09:43:27,'AAU', '-53', '6C:31:0E:F3:55:E6'
09:43:27,'AAU', '-64', '6C:31:0E:BA:0A:A6'
09:43:27,'AAU', '-73', '3C:51:0E:13:FD:86'
09:43:27,'AAU', '-81', '3C:51:0E:09:51:26'
09:43:34,'AAU', '-49', '6C:31:0E:F3:55:E6'
09:43:34,'AAU', '-65', '6C:31:0E:BA:0A:A6'
09:43:34,'AAU', '-73', '3C:51:0E:13:FD:86'
09:43:34,'AAU', '-82', '6C:31:0E:E1:0F:66'
09:43:34,'AAU', '-84', '3C:51:0E:2E:05:E6'
09:43:41,'AAU', '-54', '6C:31:0E:F3:55:E6'
09:43:41,'AAU', '-64', '6C:31:0E:BA:0A:A6'
09:43:41,'AAU', '-75', '3C:51:0E:13:FD:86'
09:43:41,'AAU', '-78', '3C:51:0E:2E:05:E6'
09:43:41,'AAU', '-82', '6C:31:0E:E1:0F:66'
09:43:41,'AAU', '-82', '3C:51:0E:09:51:26'
09:43:48,'AAU', '-53', '6C:31:0E:F3:55:E6'
09:43:48,'AAU', '-68', '6C:31:0E:BA:0A:A6'
09:43:48,'AAU', '-72', '3C:51:0E:13:FD:86'
09:43:48,'AAU', '-81', '6C:31:0E:E1:0F:66'
09:43:48,'AAU', '-84', '3C:51:0E:2E:05:E6'
09:43:55,'AAU', '-52', '6C:31:0E:F3:55:E6'
09:43:55,'AAU', '-70', '6C:31:0E:BA:0A:A6'
09:43:55,'AAU', '-73', '3C:51:0E:13:FD:86'
09:43:55,'AAU', '-83', '3C:51:0E:2E:05:E6'
09:44:02,'AAU', '-54', '6C:31:0E:F3:55:E6'
09:44:02,'AAU', '-65', '6C:31:0E:BA:0A:A6'
09:44:02,'AAU', '-73', '3C:51:0E:13:FD:86'
09:44:02,'AAU', '-83', '3C:51:0E:2E:05:E6'
09:44:02,'AAU', '-85', '3C:51:0E:09:51:26'
09:44:09,'AAU', '-53', '6C:31:0E:F3:55:E6'
09:44:09,'AAU', '-65', '6C:31:0E:BA:0A:A6'
09:44:09,'AAU', '-73', '3C:51:0E:13:FD:86'
09:44:09,'AAU', '-75', '3C:51:0E:2E:05:E6'
09:44:16,'AAU', '-54', '6C:31:0E:F3:55:E6'
09:44:16,'AAU', '-64', '6C:31:0E:BA:0A:A6'
09:44:16,'AAU', '-74', '3C:51:0E:13:FD:86'
09:44:16,'AAU', '-80', '3C:51:0E:2E:05:E6'
09:44:16,'AAU', '-84', '3C:51:0E:09:51:26'
09:44:23,'AAU', '-54', '6C:31:0E:F3:55:E6'
09:44:23,'AAU', '-65', '6C:31:0E:BA:0A:A6'
09:44:23,'AAU', '-73', '3C:51:0E:13:FD:86'
09:44:23,'AAU', '-82', '3C:51:0E:2E:05:E6'
09:44:23,'AAU', '-82', '3C:51:0E:09:51:26'
09:44:30,'AAU', '-54', '6C:31:0E:F3:55:E6'
09:44:30,'AAU', '-64', '6C:31:0E:BA:0A:A6'
09:44:30,'AAU', '-71', '3C:51:0E:13:FD:86'
09:44:30,'AAU', '-79', '3C:51:0E:2E:05:E6'
09:44:37,'AAU', '-52', '6C:31:0E:F3:55:E6'
09:44:37,'AAU', '-66', '6C:31:0E:BA:0A:A6'
09:44:37,'AAU', '-70', '3C:51:0E:13:FD:86'
09:44:37,'AAU', '-81', '3C:51:0E:2E:05:E6'
09:44:37,'AAU', '-84', '6C:31:0E:E1:0F:66'
09:44:44,'AAU', '-53', '6C:31:0E:F3:55:E6'
09:44:44,'AAU', '-65', '6C:31:0E:BA:0A:A6'
09:44:44,'AAU', '-72', '3C:51:0E:13:FD:86'
09:44:51,'AAU', '-55', '6C:31:0E:F3:55:E6'
09:44:51,'AAU', '-64', '6C:31:0E:BA:0A:A6'
09:44:51,'AAU', '-72', '3C:51:0E:13:FD:86'
09:44:51,'AAU', '-82', '3C:51:0E:2E:05:E6'
09:44:51,'AAU', '-82', '3C:51:0E:09:51:26'
09:44:58,'AAU', '-54', '6C:31:0E:F3:55:E6'
