time,SSID,RSSI,BSSID
12:16:53,'AAU', '-58', '6C:31:0E:F3:55:E6'
12:16:53,'AAU', '-68', '6C:31:0E:BA:0A:A6'
12:16:53,'AAU', '-74', '3C:51:0E:13:FD:86'
12:16:53,'AAU', '-80', '3C:51:0E:2E:05:E6'
12:16:53,'AAU', '-80', '6C:31:0E:E1:0F:66'
12:17:00,'AAU', '-56', '6C:31:0E:F3:55:E6'
12:17:00,'AAU', '-70', '6C:31:0E:BA:0A:A6'
12:17:00,'AAU', '-74', '3C:51:0E:13:FD:86'
12:17:00,'AAU', '-79', '3C:51:0E:2E:05:E6'
12:17:00,'AAU', '-84', '6C:31:0E:E1:0F:66'
12:17:07,'AAU', '-61', '6C:31:0E:F3:55:E6'
12:17:07,'AAU', '-72', '6C:31:0E:BA:0A:A6'
12:17:07,'AAU', '-79', '3C:51:0E:13:FD:86'
12:17:07,'AAU', '-80', '3C:51:0E:2E:05:E6'
12:17:07,'AAU', '-86', '6C:31:0E:E1:0F:66'
12:17:14,'AAU', '-61', '6C:31:0E:F3:55:E6'
12:17:14,'AAU', '-69', '6C:31:0E:BA:0A:A6'
12:17:14,'AAU', '-80', '3C:51:0E:2E:05:E6'
12:17:14,'AAU', '-80', '3C:51:0E:13:FD:86'
12:17:14,'AAU', '-85', '6C:31:0E:E1:0F:66'
12:17:21,'AAU', '-57', '6C:31:0E:F3:55:E6'
12:17:21,'AAU', '-70', '6C:31:0E:BA:0A:A6'
12:17:21,'AAU', '-80', '3C:51:0E:13:FD:86'
12:17:21,'AAU', '-82', '3C:51:0E:2E:05:E6'
12:17:28,'AAU', '-55', '6C:31:0E:F3:55:E6'
12:17:28,'AAU', '-68', '6C:31:0E:BA:0A:A6'
12:17:28,'AAU', '-77', '3C:51:0E:2E:05:E6'
12:17:28,'AAU', '-82', '3C:51:0E:13:FD:86'
12:17:28,'AAU', '-83', '6C:31:0E:E1:0F:66'
12:17:35,'AAU', '-56', '6C:31:0E:F3:55:E6'
12:17:35,'AAU', '-68', '6C:31:0E:BA:0A:A6'
12:17:35,'AAU', '-74', '3C:51:0E:13:FD:86'
12:17:35,'AAU', '-77', '3C:51:0E:2E:05:E6'
12:17:42,'AAU', '-57', '6C:31:0E:F3:55:E6'
12:17:42,'AAU', '-69', '6C:31:0E:BA:0A:A6'
12:17:42,'AAU', '-78', '3C:51:0E:2E:05:E6'
12:17:42,'AAU', '-78', '3C:51:0E:13:FD:86'
12:17:42,'AAU', '-83', '6C:31:0E:E1:0F:66'
12:17:49,'AAU', '-56', '6C:31:0E:F3:55:E6'
12:17:49,'AAU', '-68', '6C:31:0E:BA:0A:A6'
12:17:49,'AAU', '-75', '3C:51:0E:13:FD:86'
12:17:49,'AAU', '-77', '3C:51:0E:2E:05:E6'
12:17:56,'AAU', '-59', '6C:31:0E:F3:55:E6'
12:17:56,'AAU', '-72', '6C:31:0E:BA:0A:A6'
12:17:56,'AAU', '-79', '3C:51:0E:2E:05:E6'
12:17:56,'AAU', '-79', '3C:51:0E:13:FD:86'
12:17:56,'AAU', '-80', '6C:31:0E:E1:0F:66'
12:18:03,'AAU', '-58', '6C:31:0E:F3:55:E6'
12:18:03,'AAU', '-71', '6C:31:0E:BA:0A:A6'
12:18:03,'AAU', '-72', '3C:51:0E:13:FD:86'
12:18:03,'AAU', '-82', '3C:51:0E:2E:05:E6'
12:18:03,'AAU', '-84', '6C:31:0E:E1:0F:66'
12:18:10,'AAU', '-59', '6C:31:0E:F3:55:E6'
12:18:10,'AAU', '-71', '6C:31:0E:BA:0A:A6'
12:18:10,'AAU', '-78', '3C:51:0E:2E:05:E6'
12:18:10,'AAU', '-79', '3C:51:0E:13:FD:86'
12:18:10,'AAU', '-84', '6C:31:0E:E1:0F:66'
12:18:17,'AAU', '-59', '6C:31:0E:F3:55:E6'
12:18:17,'AAU', '-68', '6C:31:0E:BA:0A:A6'
12:18:17,'AAU', '-78', '3C:51:0E:13:FD:86'
