time,SSID,RSSI,BSSID
10:16:30,'AAU', '-52', '6C:31:0E:F3:55:E6'
10:16:30,'AAU', '-75', '3C:51:0E:13:FD:86'
10:16:30,'AAU', '-76', '6C:31:0E:BA:0A:A6'
10:16:36,'AAU', '-52', '6C:31:0E:F3:55:E6'
10:16:36,'AAU', '-74', '3C:51:0E:13:FD:86'
10:16:36,'AAU', '-75', '6C:31:0E:BA:0A:A6'
10:16:43,'AAU', '-52', '6C:31:0E:F3:55:E6'
10:16:43,'AAU', '-75', '6C:31:0E:BA:0A:A6'
10:16:43,'AAU', '-75', '3C:51:0E:13:FD:86'
10:16:50,'AAU', '-53', '6C:31:0E:F3:55:E6'
10:16:50,'AAU', '-73', '6C:31:0E:BA:0A:A6'
10:16:50,'AAU', '-77', '3C:51:0E:13:FD:86'
10:16:57,'AAU', '-52', '6C:31:0E:F3:55:E6'
10:16:57,'AAU', '-73', '6C:31:0E:BA:0A:A6'
10:16:57,'AAU', '-77', '3C:51:0E:13:FD:86'
10:17:04,'AAU', '-52', '6C:31:0E:F3:55:E6'
10:17:04,'AAU', '-74', '6C:31:0E:BA:0A:A6'
10:17:04,'AAU', '-75', '3C:51:0E:13:FD:86'
10:17:11,'AAU', '-53', '6C:31:0E:F3:55:E6'
10:17:11,'AAU', '-74', '3C:51:0E:13:FD:86'
10:17:11,'AAU', '-75', '6C:31:0E:BA:0A:A6'
10:17:18,'AAU', '-52', '6C:31:0E:F3:55:E6'
10:17:18,'AAU', '-74', '6C:31:0E:BA:0A:A6'
10:17:18,'AAU', '-75', '3C:51:0E:13:FD:86'
10:17:24,'AAU', '-52', '6C:31:0E:F3:55:E6'
10:17:24,'AAU', '-75', '6C:31:0E:BA:0A:A6'
10:17:24,'AAU', '-76', '3C:51:0E:13:FD:86'
10:17:31,'AAU', '-53', '6C:31:0E:F3:55:E6'
10:17:31,'AAU', '-74', '6C:31:0E:BA:0A:A6'
10:17:31,'AAU', '-75', '3C:51:0E:13:FD:86'
10:17:38,'AAU', '-52', '6C:31:0E:F3:55:E6'
10:17:38,'AAU', '-74', '6C:31:0E:BA:0A:A6'
10:17:38,'AAU', '-75', '3C:51:0E:13:FD:86'
